MTR-SN,Coeff-A,Coeff-B,Coeff-C,Calibration Date,comments,Cal. Residual,comments,,
4015,1.0569513640E-03,5.4399899358E-04,2.0246784957E-06,2004-05-17,TB104139,-0.0015,,,
4016,1.0823534320E-03,5.3401919687E-04,2.1891353751E-06,2011-07-21,TB104091,-0.0014,,,
4016,1.1099884996E-03,5.2468921325E-04,2.3500852481E-06,2010-02-03,TB110034,0.0011,,,
4016,1.0908722786E-03,5.3127171721E-04,2.2341309592E-06,2008-01-18,TB108019,0.0010,,,
4016,1.1027748699E-03,5.2732732834E-04,2.2980135332E-06,2006-06-30,TB106174,0.0009,,,
4018,1.0619126956E-03,5.4297328531E-04,2.0391078897E-06,2004-05-17,TB104139,-0.0017,,,
4019,1.0429042642E-03,5.4877124084E-04,1.9023511377E-06,2012-01-23,TB112023,-0.0006,,,
4019,1.0762235204E-03,5.3743702708E-04,2.0984595127E-06,2008-01-18,TB108019,-0.0009,,,
4019,1.0752355068E-03,5.3783134874E-04,2.0896545394E-06,2004-11-08,TB104313,-0.0009,,,
4019,1.0661368204E-03,5.4100555784E-04,2.0329625554E-06,2004-03-30,TB104091,-0.0021,,,
4022,1.1075617739E-03,5.3293071804E-04,2.2001891999E-06,2014-06-20,TB114171,0.0014,,,
4022,1.0500000000E-03,5.4858000000E-04,1.0600000000E-06,2000-07-17,TB100197,0.0009,,,
4024,1.0883930000E-03,5.3262060000E-04,2.1977060000E-06,2001-04-04,,0.0011,,,
4027,1.1153250000E-03,5.2346490000E-04,2.3902820000E-06,2001-04-04,,-0.0010,,,
4028,1.0930360000E-03,5.3401750000E-04,2.2103480000E-06,2001-04-04,,-0.0016,,,
4029,1.1104400000E-03,5.2560200000E-04,2.3505240000E-06,2001-04-04,,-0.0015,,,
4030,1.0852383630E-03,5.3920706306E-04,2.1338110254E-06,2003-08-08,TB103220,0.0012,,,
4030,1.1133690000E-03,5.2940110000E-04,2.3092520000E-06,2001-04-04,,-0.0009,,,
4031,1.1097876389E-03,5.2422284918E-04,2.3333527636E-06,2014-06-20,TB114171,0.0005,,,
4031,1.0688554686E-03,5.3827189624E-04,2.0898389220E-06,2003-01-12,,0.0011,,,
4032,1.0250960452E-03,5.5496892986E-04,1.8465651745E-06,2012-01-23,TB112023,-0.0008,,,
4032,1.0929645516E-03,5.3181542781E-04,2.2471813753E-06,2008-01-18,TB108019,-0.0008,,,
4032,1.0711322925E-03,5.3930208250E-04,2.1166282937E-06,2004-11-08,TB104313,-0.0008,,,
4032,1.0918177767E-03,5.3211058489E-04,2.2456909990E-06,2004-01-29,TB104030,0.0013,,,
4032,1.0973562062E-03,5.3037498625E-04,2.2707153796E-06,2003-03-25,TB103084,0.0010,,,
4033,1.0381263518E-03,5.4994085263E-04,1.9026294379E-06,2012-01-23,TB112023,0.0007,,,
4033,1.1152907729E-03,5.2357526989E-04,2.3601867433E-06,2008-01-18,TB108019,-0.0010,,,
4033,1.1308316399E-03,5.1839447820E-04,2.4456235933E-06,2006-06-30,TB106174,0.0008,,,
4033,1.1077857517E-03,5.2608338067E-04,2.3194949049E-06,2004-01-29,TB104030,0.0017,,,
4033,1.1167200675E-03,5.2317258755E-04,2.3654578638E-06,2003-03-25,TB103084,0.0015,,,
4034,,,,2004-11-08,TB104313,,bad calibration for this MTR - not enough records recorded; lge gaps in data,,
4034,1.0840585704E-03,5.3421304903E-04,2.1724411822E-06,2003-03-25,TB103084,0.0013,,,
4035,1.1785460002E-03,5.0820624715E-04,2.6410158364E-06,2000-07-16,TB196,-0.0005,dummy calibration (do not use),,
4038,1.1785460002E-03,5.0820624715E-04,2.6410158364E-06,2000-07-16,TB196,-0.0005,dummy calibration (do not use),,
4039,1.0283827954E-03,5.5394947155E-04,1.8563587713E-06,2004-05-17,TB104139,0.0012,,,
4040,1.0939987827E-03,5.3330696415E-04,2.2005838682E-06,2008-01-18,TB108019,0.0018,,,
4040,1.0976246221E-03,5.3208661348E-04,2.2210494978E-06,2004-11-08,TB104313,0.0018,,,
4040,1.0920200994E-03,5.3405508406E-04,2.1853909220E-06,2004-03-30,TB104091,-0.0028,,,
4041,1.1116074111E-03,5.2479673567E-04,2.3377214684E-06,2006-06-30,TB106174,-0.0008,,,
4041,1.0895032561E-03,5.3228147255E-04,2.2110640873E-06,2004-03-30,TB104091,-0.0020,,,
4042,1.1785460002E-03,5.0820624715E-04,2.6410158364E-06,2000-07-16,TB196,-0.0005,dummy calibration (do not use),,
4043,1.1301401589E-03,5.2342075344E-04,2.3953844201E-06,2006-06-30,TB106174,-0.0004,,,
4044,1.2153221665E-03,4.8874852109E-04,2.9700093464E-06,2014-06-20,TB114171,-0.0064,,,
4044,1.0346771622E-03,5.5057752613E-04,1.8978683633E-06,2012-01-23,TB112023,-0.0005,,,
