time,15ckpitae_s37_0001m.unqcd,15ckpitae_s37_0001m.unqcd.localtime,15ckpitae_s37_0025m.unqcd
2015-08-11 11:00:00,30.859,30.901,32.164
2015-08-11 12:00:00,30.854,30.906,32.163
2015-08-11 13:00:00,30.853,30.906,32.159
2015-08-11 14:00:00,30.858,30.903,32.156
2015-08-11 15:00:00,30.865,30.896,32.155
2015-08-11 16:00:00,30.879,30.901,32.154
2015-08-11 17:00:00,30.895,30.927,32.155
2015-08-11 18:00:00,30.901,30.94,32.155
2015-08-11 19:00:00,30.906,30.947,32.158
2015-08-11 20:00:00,30.906,30.951,32.159
2015-08-11 21:00:00,30.903,30.953,32.16
2015-08-11 22:00:00,30.896,30.932,32.159
2015-08-11 23:00:00,30.901,30.922,32.159
2015-08-12 00:00:00,30.927,30.913,32.158
2015-08-12 01:00:00,30.94,30.901,32.159
2015-08-12 02:00:00,30.947,30.895,32.153
2015-08-12 03:00:00,30.951,30.909,32.147
2015-08-12 04:00:00,30.953,30.916,32.148
2015-08-12 05:00:00,30.932,30.916,32.141
2015-08-12 06:00:00,30.922,30.913,32.146
2015-08-12 07:00:00,30.913,30.908,32.152
2015-08-12 08:00:00,30.901,30.908,32.157
2015-08-12 09:00:00,30.895,30.917,32.159
2015-08-12 10:00:00,30.909,30.93,32.154
2015-08-12 11:00:00,30.916,30.933,32.153
2015-08-12 12:00:00,30.916,30.929,32.146
2015-08-12 13:00:00,30.913,30.929,32.144
2015-08-12 14:00:00,30.908,30.952,32.138
2015-08-12 15:00:00,30.908,30.909,32.127
2015-08-12 16:00:00,30.917,30.765,32.11
2015-08-12 17:00:00,30.93,30.686,32.1
2015-08-12 18:00:00,30.933,30.672,32.088
2015-08-12 19:00:00,30.929,30.655,32.087
2015-08-12 20:00:00,30.929,30.636,32.086
2015-08-12 21:00:00,30.952,30.6,32.081
2015-08-12 22:00:00,30.909,30.575,32.077
2015-08-12 23:00:00,30.765,30.569,32.067
2015-08-13 00:00:00,30.686,30.555,32.06
2015-08-13 01:00:00,30.672,30.544,32.031
2015-08-13 02:00:00,30.655,30.545,32.02
2015-08-13 03:00:00,30.636,30.588,32.011
2015-08-13 04:00:00,30.6,30.587,32.032
2015-08-13 05:00:00,30.575,30.594,32.072
2015-08-13 06:00:00,30.569,30.612,32.095
