time,24bspr2a_rcmsg_0052m,24bspr2a_s16_0001m
2024-06-08 12:00:00,319.104,342.412
2024-06-08 13:00:00,319.196,338.148
2024-06-08 14:00:00,319.601,337.956
2024-06-08 15:00:00,320.647,343.783
2024-06-08 16:00:00,322.281,345.28
2024-06-08 17:00:00,324.289,345.994
2024-06-08 18:00:00,325.393,348.982
2024-06-08 19:00:00,325.831,349.497
2024-06-08 20:00:00,324.735,348.185
2024-06-08 21:00:00,322.783,345.359
2024-06-08 22:00:00,319.469,343.712
2024-06-08 23:00:00,317.485,342.022
2024-06-09 00:00:00,314.806,337.606
2024-06-09 01:00:00,310.657,331.933
2024-06-09 02:00:00,306.263,330.311
2024-06-09 03:00:00,303.468,330.433
2024-06-09 04:00:00,302.968,330.72
2024-06-09 05:00:00,304.096,330.668
2024-06-09 06:00:00,308.417,331.759
2024-06-09 07:00:00,314.05,334.569
2024-06-09 08:00:00,316.796,338.171
2024-06-09 09:00:00,317.904,339.898
2024-06-09 10:00:00,318.24,340.625
2024-06-09 11:00:00,318.813,339.409
2024-06-09 12:00:00,321.22,334.439
2024-06-09 13:00:00,320.729,331.628
2024-06-09 14:00:00,320.111,331.339
2024-06-09 15:00:00,319.721,331.501
2024-06-09 16:00:00,319.159,334.436
2024-06-09 17:00:00,319.366,338.169
2024-06-09 18:00:00,320.092,339.873
2024-06-09 19:00:00,320.692,339.933
2024-06-09 20:00:00,320.655,339.985
2024-06-09 21:00:00,319.924,340.241
2024-06-09 22:00:00,318.439,339.531
2024-06-09 23:00:00,317.725,338.134
2024-06-10 00:00:00,317.251,334.901
2024-06-10 01:00:00,316.092,330.804
2024-06-10 02:00:00,314.573,328.786
2024-06-10 03:00:00,313.228,328.675
2024-06-10 04:00:00,312.375,329.592
2024-06-10 05:00:00,312.026,329.97
2024-06-10 06:00:00,310.879,330.007
2024-06-10 07:00:00,311.109,331.76
2024-06-10 08:00:00,314.935,335.656
2024-06-10 09:00:00,318.272,337.73
2024-06-10 10:00:00,317.329,338.642
2024-06-10 11:00:00,317.817,338.615
2024-06-10 12:00:00,318.175,338.094
2024-06-10 13:00:00,318.171,337.58
2024-06-10 14:00:00,317.477,336.625
2024-06-10 15:00:00,317.776,335.948
2024-06-10 16:00:00,317.505,336.162
2024-06-10 17:00:00,317.525,336.921
2024-06-10 18:00:00,318.144,338.132
2024-06-10 19:00:00,319.434,339.305
2024-06-10 20:00:00,320.144,340.046
2024-06-10 21:00:00,320.11,340.508
2024-06-10 22:00:00,319.548,339.897
2024-06-10 23:00:00,318.924,339.612
2024-06-11 00:00:00,317.119,337.967
2024-06-11 01:00:00,314.607,335.566
2024-06-11 02:00:00,313.745,330.244
2024-06-11 03:00:00,313.004,328.669
2024-06-11 04:00:00,310.902,329.023
2024-06-11 05:00:00,308.184,329.385
2024-06-11 06:00:00,308.326,329.567
2024-06-11 07:00:00,312.698,330.862
2024-06-11 08:00:00,317.162,333.61
2024-06-11 09:00:00,320.404,335.043
2024-06-11 10:00:00,320.493,335.96
2024-06-11 11:00:00,318.947,337.154
2024-06-11 12:00:00,317.928,337.736
2024-06-11 13:00:00,317.275,337.297
2024-06-11 14:00:00,316.623,336.459
2024-06-11 15:00:00,316.438,334.841
2024-06-11 16:00:00,316.343,334.195
2024-06-11 17:00:00,317.031,334.125
2024-06-11 18:00:00,318.28,334.699
2024-06-11 19:00:00,319.317,336.086
2024-06-11 20:00:00,319.963,336.095
2024-06-11 21:00:00,320.213,335.588
2024-06-11 22:00:00,320.28,335.439
2024-06-11 23:00:00,320.039,335.633
2024-06-12 00:00:00,319.503,335.155
2024-06-12 01:00:00,319.284,333.181
2024-06-12 02:00:00,318.07,329.91
2024-06-12 03:00:00,313.519,328.378
2024-06-12 04:00:00,310.857,328.22
2024-06-12 05:00:00,310.347,327.984
2024-06-12 06:00:00,309.514,328.142
2024-06-12 07:00:00,312.131,328.732
2024-06-12 08:00:00,317.814,328.805
2024-06-12 09:00:00,318.897,329.503
2024-06-12 10:00:00,319.146,330.425
2024-06-12 11:00:00,319.311,332.191
2024-06-12 12:00:00,319.026,332.858
2024-06-12 13:00:00,318.625,330.784
2024-06-12 14:00:00,317.334,328.59
2024-06-12 15:00:00,316.67,328.053
2024-06-12 16:00:00,315.718,327.714
2024-06-12 17:00:00,315.779,327.403
2024-06-12 18:00:00,316.782,327.656
2024-06-12 19:00:00,317.871,328.052
2024-06-12 20:00:00,318.488,328.73
2024-06-12 21:00:00,319.077,329.493
2024-06-12 22:00:00,318.969,329.923
2024-06-12 23:00:00,318.745,330.036
2024-06-13 00:00:00,318.573,329.135
2024-06-13 01:00:00,317.869,328.622
2024-06-13 02:00:00,317.027,327.802
2024-06-13 03:00:00,315.019,326.818
2024-06-13 04:00:00,311.562,325.822
2024-06-13 05:00:00,310.535,325.531
2024-06-13 06:00:00,310.213,325.274
2024-06-13 07:00:00,310.353,325.141
2024-06-13 08:00:00,313.431,325.241
2024-06-13 09:00:00,316.694,326.059
2024-06-13 10:00:00,317.442,328.198
2024-06-13 11:00:00,317.062,329.158
2024-06-13 12:00:00,316.875,329.153
2024-06-13 13:00:00,314.326,328.792
2024-06-13 14:00:00,313.615,328.05
