time,15ckpitae_s37_0001m,15ckpitae_s37_0025m
2015-08-06 09:00:00,29.446,32.294
2015-08-06 10:00:00,29.445,32.279
2015-08-06 11:00:00,29.504,32.229
2015-08-06 12:00:00,29.557,32.182
2015-08-06 13:00:00,29.518,32.279
2015-08-06 14:00:00,29.499,32.286
2015-08-06 15:00:00,29.508,32.284
2015-08-06 16:00:00,29.49,32.305
2015-08-06 17:00:00,29.497,32.3
2015-08-06 18:00:00,29.496,32.291
2015-08-06 19:00:00,29.556,32.254
2015-08-06 20:00:00,29.652,32.279
2015-08-06 21:00:00,29.7,32.312
2015-08-06 22:00:00,29.757,32.243
2015-08-06 23:00:00,29.824,32.214
2015-08-07 00:00:00,29.928,32.219
2015-08-07 01:00:00,30.016,32.118
2015-08-07 02:00:00,30.111,32.12
2015-08-07 03:00:00,30.058,32.175
2015-08-07 04:00:00,29.76,32.18
2015-08-07 05:00:00,29.253,32.166
2015-08-07 06:00:00,29.174,32.142
2015-08-07 07:00:00,29.175,32.126
2015-08-07 08:00:00,29.167,32.189
2015-08-07 09:00:00,29.183,32.128
2015-08-07 10:00:00,29.231,32.191
2015-08-07 11:00:00,29.257,32.179
