time,24kum2a_an9_0005m,24kum2a_an9_0029m
2024-06-10 20:00:00,336.378,345.45
2024-06-10 21:00:00,336.296,345.789
2024-06-10 22:00:00,337.08,345.778
2024-06-10 23:00:00,336.99,345.389
2024-06-11 00:00:00,337.149,346.154
2024-06-11 01:00:00,336.819,345.378
2024-06-11 02:00:00,337.194,345.784
2024-06-11 03:00:00,337.941,346.184
2024-06-11 04:00:00,338.008,345.83
2024-06-11 05:00:00,338.437,345.85
2024-06-11 06:00:00,338.43,345.843
2024-06-11 07:00:00,338.348,346.208
2024-06-11 08:00:00,338.008,346.182
2024-06-11 09:00:00,338.355,346.174
2024-06-11 10:00:00,337.515,345.799
2024-06-11 11:00:00,335.759,345.462
2024-06-11 12:00:00,336.139,344.802
2024-06-11 13:00:00,336.532,345.24
2024-06-11 14:00:00,336.567,345.638
2024-06-11 15:00:00,336.561,346.049
2024-06-11 16:00:00,336.569,345.661
2024-06-11 17:00:00,336.938,345.268
2024-06-11 18:00:00,336.171,344.867
2024-06-11 19:00:00,336.113,345.232
2024-06-11 20:00:00,336.035,344.766
2024-06-11 21:00:00,336.366,345.467
2024-06-11 22:00:00,336.419,345.401
2024-06-11 23:00:00,336.723,345.371
2024-06-12 00:00:00,337.046,345.756
2024-06-12 01:00:00,336.799,345.765
2024-06-12 02:00:00,337.211,346.182
2024-06-12 03:00:00,336.883,346.215
2024-06-12 04:00:00,336.932,346.241
2024-06-12 05:00:00,337.333,346.646
2024-06-12 06:00:00,337.327,346.264
2024-06-12 07:00:00,337.319,346.256
2024-06-12 08:00:00,336.921,346.24
2024-06-12 09:00:00,336.489,345.837
2024-06-12 10:00:00,336.433,345.44
2024-06-12 11:00:00,335.675,345.467
2024-06-12 12:00:00,335.338,344.745
2024-06-12 13:00:00,334.61,344.438
2024-06-12 14:00:00,335.046,344.119
2024-06-12 15:00:00,335.063,344.149
2024-06-12 16:00:00,335.075,344.16
2024-06-12 17:00:00,334.703,343.788
2024-06-12 18:00:00,335.067,343.763
2024-06-12 19:00:00,335.381,343.706
2024-06-12 20:00:00,334.727,343.706
2024-06-12 21:00:00,335.327,344.039
2024-06-12 22:00:00,335.599,343.952
2024-06-12 23:00:00,335.627,343.913
2024-06-13 00:00:00,335.62,343.908
2024-06-13 01:00:00,336.067,343.939
2024-06-13 02:00:00,336.486,344.351
2024-06-13 03:00:00,336.552,344.379
2024-06-13 04:00:00,336.622,344.796
