time,24kum2a_s37_0002m,24kum2a_s37_0030m
2024-06-07 04:00:00,31.169,31.175
2024-06-07 05:00:00,31.164,31.172
2024-06-07 06:00:00,31.174,31.179
2024-06-07 07:00:00,31.18,31.189
2024-06-07 08:00:00,31.172,31.186
2024-06-07 09:00:00,31.174,31.183
2024-06-07 10:00:00,31.175,31.187
2024-06-07 11:00:00,31.179,31.19
2024-06-07 12:00:00,31.177,31.191
2024-06-07 13:00:00,31.174,31.188
2024-06-07 14:00:00,31.17,31.186
2024-06-07 15:00:00,31.175,31.193
2024-06-07 16:00:00,31.201,31.212
2024-06-07 17:00:00,31.234,31.247
2024-06-07 18:00:00,31.258,31.272
2024-06-07 19:00:00,31.264,31.277
2024-06-07 20:00:00,31.254,31.27
2024-06-07 21:00:00,31.238,31.255
2024-06-07 22:00:00,31.209,31.231
2024-06-07 23:00:00,31.179,31.201
2024-06-08 00:00:00,31.181,31.189
2024-06-08 01:00:00,31.176,31.187
2024-06-08 02:00:00,31.171,31.183
2024-06-08 03:00:00,31.187,31.197
2024-06-08 04:00:00,31.195,31.206
2024-06-08 05:00:00,31.197,31.208
2024-06-08 06:00:00,31.194,31.207
2024-06-08 07:00:00,31.194,31.207
2024-06-08 08:00:00,31.174,31.188
2024-06-08 09:00:00,31.193,31.202
2024-06-08 10:00:00,31.203,31.22
2024-06-08 11:00:00,31.175,31.208
2024-06-08 12:00:00,31.165,31.19
2024-06-08 13:00:00,31.162,31.184
2024-06-08 14:00:00,31.166,31.198
2024-06-08 15:00:00,31.183,31.222
2024-06-08 16:00:00,31.21,31.243
2024-06-08 17:00:00,31.21,31.247
2024-06-08 18:00:00,31.207,31.247
2024-06-08 19:00:00,31.232,31.25
2024-06-08 20:00:00,31.231,31.25
2024-06-08 21:00:00,31.223,31.239
2024-06-08 22:00:00,31.206,31.218
2024-06-08 23:00:00,31.198,31.209
2024-06-09 00:00:00,31.191,31.212
2024-06-09 01:00:00,31.179,31.201
2024-06-09 02:00:00,31.186,31.194
2024-06-09 03:00:00,31.203,31.215
2024-06-09 04:00:00,31.219,31.23
2024-06-09 05:00:00,31.226,31.236
2024-06-09 06:00:00,31.212,31.228
2024-06-09 07:00:00,31.193,31.207
2024-06-09 08:00:00,31.185,31.2
2024-06-09 09:00:00,31.174,31.192
2024-06-09 10:00:00,31.17,31.194
2024-06-09 11:00:00,31.176,31.212
2024-06-09 12:00:00,31.176,31.217
2024-06-09 13:00:00,31.174,31.211
2024-06-09 14:00:00,31.165,31.21
2024-06-09 15:00:00,31.162,31.216
2024-06-09 16:00:00,31.161,31.223
2024-06-09 17:00:00,31.158,31.218
2024-06-09 18:00:00,31.173,31.208
2024-06-09 19:00:00,31.199,31.207
2024-06-09 20:00:00,31.207,31.215
2024-06-09 21:00:00,31.214,31.226
2024-06-09 22:00:00,31.219,31.23
2024-06-09 23:00:00,31.217,31.227
2024-06-10 00:00:00,31.206,31.214
2024-06-10 01:00:00,31.202,31.209
2024-06-10 02:00:00,31.219,31.228
2024-06-10 03:00:00,31.209,31.239
2024-06-10 04:00:00,31.2,31.235
2024-06-10 05:00:00,31.199,31.233
2024-06-10 06:00:00,31.216,31.241
2024-06-10 07:00:00,31.231,31.251
2024-06-10 08:00:00,31.241,31.256
2024-06-10 09:00:00,31.196,31.232
2024-06-10 10:00:00,31.16,31.187
2024-06-10 11:00:00,31.147,31.169
2024-06-10 12:00:00,31.138,31.16
2024-06-10 13:00:00,31.132,31.156
2024-06-10 14:00:00,31.13,31.152
2024-06-10 15:00:00,31.127,31.148
2024-06-10 16:00:00,31.127,31.146
2024-06-10 17:00:00,31.135,31.154
2024-06-10 18:00:00,31.154,31.168
2024-06-10 19:00:00,31.182,31.191
2024-06-10 20:00:00,31.2,31.218
2024-06-10 21:00:00,31.226,31.239
2024-06-10 22:00:00,31.232,31.246
2024-06-10 23:00:00,31.24,31.247
2024-06-11 00:00:00,31.227,31.25
2024-06-11 01:00:00,31.235,31.257
2024-06-11 02:00:00,31.225,31.253
2024-06-11 03:00:00,31.21,31.239
2024-06-11 04:00:00,31.191,31.229
2024-06-11 05:00:00,31.189,31.225
2024-06-11 06:00:00,31.189,31.229
2024-06-11 07:00:00,31.216,31.237
2024-06-11 08:00:00,31.219,31.246
2024-06-11 09:00:00,31.239,31.254
2024-06-11 10:00:00,31.229,31.251
2024-06-11 11:00:00,31.168,31.22
2024-06-11 12:00:00,31.138,31.171
2024-06-11 13:00:00,31.127,31.147
2024-06-11 14:00:00,31.125,31.141
2024-06-11 15:00:00,31.121,31.137
2024-06-11 16:00:00,31.118,31.137
2024-06-11 17:00:00,31.122,31.142
2024-06-11 18:00:00,31.148,31.155
2024-06-11 19:00:00,31.172,31.186
2024-06-11 20:00:00,31.203,31.218
2024-06-11 21:00:00,31.244,31.245
2024-06-11 22:00:00,31.242,31.264
2024-06-11 23:00:00,31.263,31.271
2024-06-12 00:00:00,31.262,31.272
2024-06-12 01:00:00,31.253,31.267
2024-06-12 02:00:00,31.24,31.26
2024-06-12 03:00:00,31.222,31.252
2024-06-12 04:00:00,31.209,31.243
2024-06-12 05:00:00,31.199,31.237
2024-06-12 06:00:00,31.196,31.236
2024-06-12 07:00:00,31.196,31.24
2024-06-12 08:00:00,31.204,31.247
2024-06-12 09:00:00,31.222,31.253
2024-06-12 10:00:00,31.233,31.254
2024-06-12 11:00:00,31.224,31.248
2024-06-12 12:00:00,31.198,31.232
2024-06-12 13:00:00,31.161,31.203
2024-06-12 14:00:00,31.137,31.175
2024-06-12 15:00:00,31.13,31.16
2024-06-12 16:00:00,31.127,31.154
2024-06-12 17:00:00,31.128,31.159
2024-06-12 18:00:00,31.15,31.176
2024-06-12 19:00:00,31.17,31.2
2024-06-12 20:00:00,31.139,31.204
2024-06-12 21:00:00,31.214,31.226
2024-06-12 22:00:00,31.25,31.254
2024-06-12 23:00:00,31.252,31.261
2024-06-13 00:00:00,31.254,31.261
2024-06-13 01:00:00,31.227,31.253
2024-06-13 02:00:00,31.213,31.244
2024-06-13 03:00:00,31.196,31.233
2024-06-13 04:00:00,31.167,31.222
